Month,Champagne Sales,,,
1-01,2851,,,
1-02,2672,,,
1-03,2755,,,
1-04,2721,,,
1-05,2946,,,
1-06,3036,,,
1-07,2282,,,
1-08,2212,,,
1-09,2922,,,
1-10,4301,,,
1-11,5764,,,
1-12,7132,,,
2-01,2541,,,
2-02,2475,,,
2-03,3031,,,
2-04,3266,,,
2-05,3776,,,
2-06,3230,,,
2-07,3028,,,
2-08,1759,,,
2-09,3595,,,
2-10,4474,,,
2-11,6838,,,
2-12,8357,,,
3-01,3113,,,
3-02,3006,,,
3-03,4047,,,
3-04,3523,,,
3-05,3937,,,
3-06,3986,,,
3-07,3260,,,
3-08,1573,,,
3-09,3528,,,
3-10,5211,,,
3-11,7614,,,
3-12,9254,,,
4-01,5375,,,
4-02,3088,,,
4-03,3718,,,
4-04,4514,,,
4-05,4520,,,
4-06,4539,,,
4-07,3663,,,
4-08,1643,,,
4-09,4739,,,
4-10,5428,,,
4-11,8314,,,
4-12,10651,,,
5-01,3633,,,
5-02,4292,,,
5-03,4154,,,
5-04,4121,,,
5-05,4647,,,
5-06,4753,,,
5-07,3965,,,
5-08,1723,,,
5-09,5048,,,
5-10,6922,,,
5-11,9858,,,
5-12,11331,,,
6-01,4016,,,
6-02,3957,,,
6-03,4510,,,
6-04,4276,,,
6-05,4968,,,
6-06,4677,,,
6-07,3523,,,
6-08,1821,,,
6-09,5222,,,
6-10,6873,,,
6-11,10803,,,
6-12,13916,,,
7-01,2639,,,
7-02,2899,,,
7-03,3370,,,
7-04,3740,,,
7-05,2927,,,
7-06,3986,,,
7-07,4217,,,
7-08,1738,,,
7-09,5221,,,
7-10,6424,,,
7-11,9842,,,
7-12,13076,,,
8-01,3934,,,
8-02,3162,,,
8-03,4286,,,
8-04,4676,,,
8-05,5010,,,
8-06,4874,,,
8-07,4633,,,
8-08,1659,,,
8-09,5951,,,
8-10,6981,,,
8-11,9851,,,
8-12,12670,,,